Date,News
05 Jan 2011,stocks-views/sell-tcs-says-mitesh-thacker
06 Jan 2011,brokerage-results-estimates/tcs-dec-qtr-pat-seen-at-rs-2179-cr-krchoksey
07 Jan 2011,brokerage-results-estimates/tcs-dec-qtr-pat-seen5-at-rs-2209-cr-karvy
07 Jan 2011,result-analysis/experts-debate-how-will-it-cos-fare-this-earnings-season
10 Jan 2011,brokerage-results-estimates/tcs-dec-qtr-pat-seen4-at-rs-2197-cr-angel
11 Jan 2011,result-analysis/how-will-q3-fare-forit-pack-bhavin-shah-explains
11 Jan 2011,result-analysis/see-infosys-dollar-growth-at-75-kotak-sec
13 Jan 2011,result-analysis/infy-price-target-at-rs-3560-may-revise-it-upwards-angel
14 Jan 2011,result-poll/tcs-q3-pat-seen5-at-rs-2203-cr
17 Jan 2011,business/tata-consultancy-services-declares-3rd-interim-dividend-at-rs-2-per-share
17 Jan 2011,business/tata-consultancy-services-january-28-2011-record-date-for-paymentinterim-dividend
17 Jan 2011,results-cnbc-tv18-reports/tcs-q3-net-sales4-at-rs-966335-cr
17 Jan 2011,resultscompany-press-conference/deal-pipeline-continues-to-look-healthy-tcs
17 Jan 2011,tcs-q3-cons-net924-at-rs-236983-cr
18 Jan 2011,accumulate-tcs-targetrs-1287-angel-broking
18 Jan 2011,buy-tcs-targetrs-1350-pinc-research
18 Jan 2011,buy-tcs-targetrs-1400-prabhudas-lilladher
18 Jan 2011,hold-tcs-targetrs-1133-nirmal-bang
18 Jan 2011,result-analysis/how-is-antique-broking-reading-tcs-dec-results
18 Jan 2011,results-boardroom/tcs-beats-infyq3-expects-2011-to-be-better-than-2010
18 Jan 2011,stocks-views/buy-tcs-says-devang-mehta
18 Jan 2011,stocks-views/hold-tcs-says-radhika-gupta
18 Jan 2011,stocks-views/tcs-has-short-term-targetrs-1240-mohindar
19 Jan 2011,stocks-views/bandyopadhyay-bullishtcs
19 Jan 2011,stocks-views/tcs-continue-to-do-well-vikas-pershad
20 Jan 2011,buy-tcs-targetrs-1363-firstcall-research
21 Jan 2011,stocks-views/book-profitstcsrs-1220-1265-range-manghnani
22 Jan 2011,business/wipro-it-chiefs-quit-profit-lags-rivals
24 Jan 2011,accumulate-tcs-targetrs-1275-emkay
24 Jan 2011,stocks-views/prefer-tcs-over-wipro-mehta
24 Jan 2011,stocks-views/tcs-has-targetrs-1300-jpmorgan
25 Jan 2011,business/tcs-bancs-launches-mobile-tradingindia
27 Jan 2011,business/davos-11-2011-to-bebetter-year-for-it-sector-says-tcs
29 Jan 2011,business/tcs-expects-hiring-spree-no-consolidation2011
29 Jan 2011,business/top-india-it-outsourcers-worry-about-euro-debt-davos
31 Jan 2011,stocks-views/tcs-has-support-at-rs-1110-1120-kulkarni
02 Feb 2011,sell-tcs-targetrs-1025-aditya-birla-money
04 Feb 2011,stocks-views/tcs-may-go-down-by-rs-80-100current-level-thacker
08 Feb 2011,business/wipro-reorganises-core-it-outsourcing-business
09 Feb 2011,sell-tcs-fut-between-rs-1143-1148-iifl
09 Feb 2011,sell-tcs-targetrs-1020-1000-aditya-birla-money
10 Feb 2011,business/would-consider-restructuring-if-clients-demand-it-hcl-tech
10 Feb 2011,hold-tata-consultancy-services-tgtrs-1209-krchoksey
15 Feb 2011,business/tcs-targets-36-1-billion5-yearssmb-platform
15 Feb 2011,business/will-build-sme-productindia-first-then-go-global-tcs
18 Feb 2011,buy-tata-consultancy-services-tgtrs-1400-plilladher
21 Feb 2011,stocks-views/prefer-infosys-to-tcs-says-prashastha-seth
23 Feb 2011,stocks-views/tcs-has-strong-resistance-at-rs-1150-kulkarni
24 Feb 2011,stocks-views/bhamre-positivetcs
24 Feb 2011,stocks-views/bulls-eye-stocks-to-buy-today
24 Feb 2011,stocks-views/buy-tcs-says-gaurang-shah
24 Feb 2011,stocks-views/enter-tcs-at-around-rs-1100-1080-thukral
01 Mar 2011,sell-tata-consultancy-services-targetrs-1080-iifl
07 Mar 2011,business/customer-spendfy12-to-be-better-than-last-fiscal-tcs
07 Mar 2011,stocks-views/do-not-go-longtcs-infosys-thukral
08 Mar 2011,stocks-views/buy-wipro-tcs-at-current-levels-mohindar
08 Mar 2011,stocks-views/hemang-jani-positiveit-space
08 Mar 2011,stocks-views/infosys-hcl-tcs-top-picksit-sector-seth-
08 Mar 2011,stocks-views/it-space-to-remain-outperformer-fortune-financial
09 Mar 2011,stocks-views/infosys-may-slip-further-if-it-breaks-rs-2950-levels-bala
10 Mar 2011,sell-tata-consultancy-services-targetrs-1092-iifl
14 Mar 2011,sell-tcs-future-targetrs-1064-iifl
14 Mar 2011,stocks-views/short-tcsstoploss-above-rs-1110-thacker
15 Mar 2011,business/indian-it-cos-relocating-employeesjapan-
15 Mar 2011,stocks-views/riltop-pick-amongst-oilgas-sector-maheshwari
18 Mar 2011,business/no-stake-sale-plan-to-tcs-says-onmobile
18 Mar 2011,buy-tata-consultancy-services-targetrs-1128-iifl
18 Mar 2011,stocks-views/buy-tcsstoplossrs-1050-mehta
21 Mar 2011,business/indian-it-cos-recall-staffbahrain
21 Mar 2011,stocks-views/tcs-may-slip-to-rs-1000-manghnani
22 Mar 2011,stocks-views/accumulate-infosys-plilladher
23 Mar 2011,stocks-views/be-cautiousit-stocks-says-jai-bala
23 Mar 2011,stocks-views/infosys-tcs-may-fetch-17-20-returnone-year-bhat
24 Mar 2011,stocks-views/dlf-ril-tcs-top-pickslargecap-space-mohindar
24 Mar 2011,stocks-views/tcs-has-support-at-rs-1050-mohindar
25 Mar 2011,stocks-views/tcs-has-targetrs-1365-devang-mehta
28 Mar 2011,stocks-views/prefer-infosys-to-tcs-says-irani
28 Mar 2011,stocks-views/sriram-positiveit-space
28 Mar 2011,stocks-views/stay-investedreliance-industries-tulsian
29 Mar 2011,business/tcs-sees-pricing-upticknext-fiscal
31 Mar 2011,stocks-views/tcs-has-targetrs-1220-hemant-thukral
01 Apr 2011,stocks-views/hdfc-bank-kotak-mahindra-continues-to-be-strong-diwan
04 Apr 2011,brokerage-results-estimates/tcs-mar-qtr-net-profit-seenby-6-at-rs-2507cr
04 Apr 2011,stocks-views/tcs-has-resistance-at-rs-1200-1220-manghnani
05 Apr 2011,stocks-views/buy-wipro-at-around-rs-440-430-bhamre
07 Apr 2011,brokerage-results-estimates/tcs-mar-qtr-pat-seen5-at-rs-2248-cr
07 Apr 2011,stocks-views/buy-tcs-at-current-level-thakkar
07 Apr 2011,stocks-views/prefer-infosys-tcs-icici-securities
07 Apr 2011,stocks-views/technology-automobiles-will-lead-rally-icici-sec
08 Apr 2011,brokerage-results-estimates/tcs-mar-qtr-pat-seen-dn-09-at-rs-2308cr-most
08 Apr 2011,business/ratan-tata-the-man-behindbrand
08 Apr 2011,stocks-views/it-sector-continues-to-be-attractive-malkani
08 Apr 2011,stocks-views/wipro-has-resistance-at-rs-500-manghnani
12 Apr 2011,business/it-firms-set-for-robust-outlook-as-tech-spending-rises
13 Apr 2011,brokerage-results-estimates/tcs-mar-qtr-pat-seen39-at-rs-2348-cr
15 Apr 2011,stocks-views/tcs-can-outperformit-sector-devang-mehta
15 Apr 2011,stocks-views/tcs-has-targetrs-1306-anu-jain
18 Apr 2011,business/infy-slowreacting-to-changing-client-needs-expert-view
18 Apr 2011,business/tata-group-to-invest-3627-bnnext-5-yrs-report
18 Apr 2011,stocks-views/tcs-has-support-at-rs-1150-1130-manghnani
19 Apr 2011,stocks-views/hold-tcs-says-phani-sekhar
19 Apr 2011,stocks-views/seth`s-viewtcs-infosys
20 Apr 2011,business/organic-growthmargin-expansion-ispriority-tcs-ceo
20 Apr 2011,result-analysis/what-discount-to-multiple-does-nomura-give-hcl-tech-vs-tcs
20 Apr 2011,result-poll/will-tcs-impress-post-infys-dismal-performance
20 Apr 2011,stocks-views/buy-tcs-at-around-rs-1080-mithil-pradhan
20 Apr 2011,stocks-views/tcs-should-do-well-malik
21 Apr 2011,announcements/tcs-declares-final-dividend-at-rs-8-per-share
21 Apr 2011,result-analysis/tcs-vs-infosysq4-udayan-analyses-
21 Apr 2011,results-boardroom/experts-doubtfultcs-margin-expansion-post-q4
21 Apr 2011,resultscompany-press-conference/hiring-wage-hike-indicate-positive-demand-scenario-tcs
21 Apr 2011,stocks-views/book-profitstcs-says-rakesh-gandhi
21 Apr 2011,stocks-views/book-some-profitstcs-prakash-diwan
21 Apr 2011,stocks-views/tcs-better-playerit-space-gupta
